instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,is_weekend,casual_sum,registered_sum,cnt_sum
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Weekend,620017,2672662,3292679
2,2011-01-02,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Weekend,620017,2672662,3292679
3,2011-01-03,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Weekend,620017,2672662,3292679
4,2011-01-04,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Weekend,620017,2672662,3292679
5,2011-01-05,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Weekend,620017,2672662,3292679
6,2011-01-06,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Weekend,620017,2672662,3292679
7,2011-01-07,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Weekend,620017,2672662,3292679
8,2011-01-08,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Weekend,620017,2672662,3292679
9,2011-01-09,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Weekend,620017,2672662,3292679
10,2011-01-10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Weekend,620017,2672662,3292679
11,2011-01-11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Weekend,620017,2672662,3292679
12,2011-01-12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Weekend,620017,2672662,3292679
13,2011-01-13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Weekend,620017,2672662,3292679
14,2011-01-14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Weekend,620017,2672662,3292679
15,2011-01-15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Weekend,620017,2672662,3292679
16,2011-01-16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Weekend,620017,2672662,3292679
17,2011-01-17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Weekend,620017,2672662,3292679
18,2011-01-18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Weekend,620017,2672662,3292679
19,2011-01-19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Weekend,620017,2672662,3292679
20,2011-01-20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Weekend,620017,2672662,3292679
21,2011-01-21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Weekend,620017,2672662,3292679
22,2011-01-22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Weekend,620017,2672662,3292679
23,2011-01-23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Weekend,620017,2672662,3292679
24,2011-01-24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Weekend,620017,2672662,3292679
25,2011-01-25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Non-Weekend,620017,2672662,3292679
26,2011-01-26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Non-Weekend,620017,2672662,3292679
27,2011-01-27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Non-Weekend,620017,2672662,3292679
28,2011-01-28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Non-Weekend,620017,2672662,3292679
29,2011-01-29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Non-Weekend,620017,2672662,3292679
30,2011-01-30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Non-Weekend,620017,2672662,3292679
31,2011-01-31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Non-Weekend,620017,2672662,3292679
32,2011-02-01,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Non-Weekend,620017,2672662,3292679
33,2011-02-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Non-Weekend,620017,2672662,3292679
34,2011-02-03,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Non-Weekend,620017,2672662,3292679
35,2011-02-04,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Non-Weekend,620017,2672662,3292679
36,2011-02-05,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Non-Weekend,620017,2672662,3292679
37,2011-02-06,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Non-Weekend,620017,2672662,3292679
38,2011-02-07,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Non-Weekend,620017,2672662,3292679
39,2011-02-08,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Non-Weekend,620017,2672662,3292679
40,2011-02-09,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Non-Weekend,620017,2672662,3292679
41,2011-02-10,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Non-Weekend,620017,2672662,3292679
42,2011-02-11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Non-Weekend,620017,2672662,3292679
43,2011-02-12,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Non-Weekend,620017,2672662,3292679
44,2011-02-13,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Non-Weekend,620017,2672662,3292679
45,2011-02-14,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Non-Weekend,620017,2672662,3292679
46,2011-02-15,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Non-Weekend,620017,2672662,3292679
47,2011-02-16,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Non-Weekend,620017,2672662,3292679
48,2011-02-17,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Non-Weekend,620017,2672662,3292679
49,2011-02-18,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Non-Weekend,620017,2672662,3292679
50,2011-02-19,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Non-Weekend,620017,2672662,3292679
51,2011-02-20,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Non-Weekend,620017,2672662,3292679
52,2011-02-21,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Non-Weekend,620017,2672662,3292679
53,2011-02-22,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Non-Weekend,620017,2672662,3292679
54,2011-02-23,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Non-Weekend,620017,2672662,3292679
55,2011-02-24,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Non-Weekend,620017,2672662,3292679
56,2011-02-25,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Non-Weekend,620017,2672662,3292679
57,2011-02-26,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Non-Weekend,620017,2672662,3292679
58,2011-02-27,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Non-Weekend,620017,2672662,3292679
59,2011-02-28,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Non-Weekend,620017,2672662,3292679
60,2011-03-01,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Non-Weekend,620017,2672662,3292679
61,2011-03-02,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Non-Weekend,620017,2672662,3292679
62,2011-03-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Non-Weekend,620017,2672662,3292679
63,2011-03-04,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Non-Weekend,620017,2672662,3292679
64,2011-03-05,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Non-Weekend,620017,2672662,3292679
65,2011-03-06,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Non-Weekend,620017,2672662,3292679
66,2011-03-07,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Non-Weekend,620017,2672662,3292679
67,2011-03-08,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Non-Weekend,620017,2672662,3292679
68,2011-03-09,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Non-Weekend,620017,2672662,3292679
69,2011-03-10,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Non-Weekend,620017,2672662,3292679
70,2011-03-11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Non-Weekend,620017,2672662,3292679
71,2011-03-12,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Non-Weekend,620017,2672662,3292679
72,2011-03-13,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Non-Weekend,620017,2672662,3292679
73,2011-03-14,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Non-Weekend,620017,2672662,3292679
74,2011-03-15,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Non-Weekend,620017,2672662,3292679
75,2011-03-16,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Non-Weekend,620017,2672662,3292679
76,2011-03-17,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Non-Weekend,620017,2672662,3292679
77,2011-03-18,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Non-Weekend,620017,2672662,3292679
78,2011-03-19,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Non-Weekend,620017,2672662,3292679
79,2011-03-20,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Non-Weekend,620017,2672662,3292679
80,2011-03-21,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Non-Weekend,620017,2672662,3292679
81,2011-03-22,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Non-Weekend,620017,2672662,3292679
82,2011-03-23,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Non-Weekend,620017,2672662,3292679
83,2011-03-24,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Non-Weekend,620017,2672662,3292679
84,2011-03-25,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Non-Weekend,620017,2672662,3292679
85,2011-03-26,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Non-Weekend,620017,2672662,3292679
86,2011-03-27,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Non-Weekend,620017,2672662,3292679
87,2011-03-28,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Non-Weekend,620017,2672662,3292679
88,2011-03-29,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Non-Weekend,620017,2672662,3292679
89,2011-03-30,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Non-Weekend,620017,2672662,3292679
90,2011-03-31,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Non-Weekend,620017,2672662,3292679
91,2011-04-01,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Non-Weekend,620017,2672662,3292679
92,2011-04-02,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Non-Weekend,620017,2672662,3292679
93,2011-04-03,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Non-Weekend,620017,2672662,3292679
94,2011-04-04,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Non-Weekend,620017,2672662,3292679
95,2011-04-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Non-Weekend,620017,2672662,3292679
96,2011-04-06,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Non-Weekend,620017,2672662,3292679
97,2011-04-07,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Non-Weekend,620017,2672662,3292679
98,2011-04-08,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Non-Weekend,620017,2672662,3292679
99,2011-04-09,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Non-Weekend,620017,2672662,3292679
100,2011-04-10,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Non-Weekend,620017,2672662,3292679
101,2011-04-11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Non-Weekend,620017,2672662,3292679
102,2011-04-12,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Non-Weekend,620017,2672662,3292679
103,2011-04-13,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Non-Weekend,620017,2672662,3292679
104,2011-04-14,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Non-Weekend,620017,2672662,3292679
105,2011-04-15,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Non-Weekend,620017,2672662,3292679
106,2011-04-16,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Non-Weekend,620017,2672662,3292679
107,2011-04-17,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Non-Weekend,620017,2672662,3292679
108,2011-04-18,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Non-Weekend,620017,2672662,3292679
109,2011-04-19,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Non-Weekend,620017,2672662,3292679
110,2011-04-20,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Non-Weekend,620017,2672662,3292679
111,2011-04-21,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Non-Weekend,620017,2672662,3292679
112,2011-04-22,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Non-Weekend,620017,2672662,3292679
113,2011-04-23,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Non-Weekend,620017,2672662,3292679
114,2011-04-24,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Non-Weekend,620017,2672662,3292679
115,2011-04-25,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Non-Weekend,620017,2672662,3292679
116,2011-04-26,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Non-Weekend,620017,2672662,3292679
117,2011-04-27,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Non-Weekend,620017,2672662,3292679
118,2011-04-28,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Non-Weekend,620017,2672662,3292679
119,2011-04-29,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Non-Weekend,620017,2672662,3292679
120,2011-04-30,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Non-Weekend,620017,2672662,3292679
121,2011-05-01,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Non-Weekend,620017,2672662,3292679
122,2011-05-02,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Non-Weekend,620017,2672662,3292679
123,2011-05-03,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Non-Weekend,620017,2672662,3292679
124,2011-05-04,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Non-Weekend,620017,2672662,3292679
125,2011-05-05,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Non-Weekend,620017,2672662,3292679
